STATION_NAME,PARAM,Tissue,Year1,Year2,N,Nplus,Mean,p_linear,p_nonlinear,AICc_lin,AICc_nonlin,Lin_slope,Lin_yr1,Lin_yr2,Nonlin_yr1,Nonlin_yr2,Over_LOQ_yr2,Model_used,P_change,Dir_change,trend_text,trend
Møre,CD,Lever,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too little data,0
Møre,HG,Filet,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too little data,0
Møre,PB,Lever,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too little data,0
Møre,BDE6S,Lever,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too little data,0
Møre,HCB,Lever,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,,Too little data,0
Møre,DDEPP,Lever,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,,Too little data,0
Møre,CB_S7,Lever,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too little data,0
Møre,CD,Filet,NA,NA,0,0,9e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,,Too little data,0
Møre,PB,Filet,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too little data,0
Helgeland,CD,Lever,2009,2017,7,7,0.0625468142857143,0.744394545212479,0.351263771853721,27.6004957702604,27.6004957759928,-0.0350118978151275,-2.8058625729852,-3.08595775550623,-2.8058625727085,-3.0859577551746,25,Linear,0.744394545212479,,No trend,1
Helgeland,HG,Filet,2009,2017,7,7,0.0822079621685714,0.648281886003345,0.70348141300896,19.8258515574575,19.8258515577276,0.0282673733868608,-2.69158604257351,-2.46544705547862,-2.69158604257865,-2.46544705548383,25,Linear,0.648281886003345,,No trend,1
Helgeland,PB,Lever,2009,2017,7,5,0.019,0.299250695511157,0.867989715785394,15.6331189855349,16.2919114255129,0.0597554634961286,-4.23870044366522,-3.8801676626884,-4.22318704428432,-3.87452839075261,0,Linear,0.299250695511157,,No trend,1
Helgeland,BDE6S,Lever,2009,2017,7,7,7.64326900592857,0.741302788106923,0.349488019678152,26.1901269195619,26.19012691979,-0.0320583410597035,2.02086148480156,1.76439475632392,2.02086148479605,1.76439475631851,25,Linear,0.741302788106923,,No trend,1
Helgeland,HCB,Lever,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,,Too little data,0
Helgeland,DDEPP,Lever,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,,Too little data,0
Helgeland,CB_S7,Lever,2009,2017,7,7,129.059326057,0.752548587379481,0.355951098622181,23.0984972576764,23.0984972585537,-0.0245370956957101,4.86291841758715,4.66662165202146,4.86291841755704,4.66662165198814,25,Linear,0.752548587379481,,No trend,1
Helgeland,CD,Filet,2009,2017,7,4,0.00117142857142857,0.0219766743037128,0.00180671667599154,9.27427772723977,15.391811500702,-0.0958338618771599,-6.40343784054774,-7.07427487368784,-6.30127216867168,-6.99617528013437,0,Mean,NA,,Too few data above LOQ,0
Helgeland,PB,Filet,NA,NA,0,0,0.00575714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,,Too little data,0
Lofoten,CD,Lever,2009,2013,4,4,0.083266275,0.889817553225316,0,Inf,-153.754085729022,-0.0370629238018931,-2.54722836063351,-2.69548005584109,-2.95862918516087,-3.29746728006704,25,Mean,NA,,Too little data,0
Lofoten,HG,Filet,2009,2013,4,4,0.094255030135,0.249645233171243,0.925238368445827,Inf,1774701022206.75,0.202821976489009,-2.85062981838064,-2.03934191242457,-2.85062981837445,-2.03934191242861,25,Mean,NA,,Too little data,0
Lofoten,PB,Lever,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too little data,0
Lofoten,BDE6S,Lever,2009,2013,4,4,9.876951642,0.181391883704826,0.999999999690859,Inf,-104.97121067711,0.0740554707249932,2.13164536301558,2.42786724591556,2.22060856864222,2.50137429402342,25,Mean,NA,,Too little data,0
Lofoten,HCB,Lever,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,,Too little data,0
Lofoten,DDEPP,Lever,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,,Too little data,0
Lofoten,CB_S7,Lever,2009,2013,4,4,177.7451337475,0.126392638873291,0.998464113036586,Inf,-45.1366232544154,0.118804505580054,4.91948428953108,5.39470231185131,5.02834728891978,5.45992500715341,25,Mean,NA,,Too little data,0
Lofoten,CD,Filet,2009,2013,4,4,0.00115,0.269703256659759,0.0286176155558816,Inf,-37.4827079149969,-0.149442880366043,-6.5274264334503,-7.1251979549145,-6.35930319304515,-7.01311579464217,6,Mean,NA,,Too little data,0
Lofoten,PB,Filet,NA,NA,0,0,0.00585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,,Too little data,0
