PROJECT_ID,LATIN_NAME,STATION_CODE,STATION_NAME,LONGITUDE,LATITUDE,PARAM,N,Conc,SPECIES_ID,TISSUE_NAME,NIVA_CODE,trend
3699,Mytilus edulis,26A2,Vågsvåg, Outer Nordfjord,5.04878333333333,61.9362166666667,BDE6S,NA,0.1348,17,Whole soft body,SB,1
3699,Mytilus edulis,28A2,NA,NA,NA,BDE6S,NA,0.088,17,Whole soft body,SB,0
3699,Mytilus edulis,30A,Gressholmen,  Inner Oslofjord,10.711,59.88362,BDE6S,NA,0.0661,17,Whole soft body,SB,1
3699,Mytilus edulis,36A,Færder, Outer Oslofjord,10.525,59.0274,BDE6S,NA,0.0387,17,Whole soft body,SB,0
3699,Mytilus edulis,71A,Bjørkøya, Langesundfjord,9.75366666666667,59.0233333333333,BDE6S,NA,0.0494,17,Whole soft body,SB,1
3699,Mytilus edulis,91A2,Ørland area, Outer Trondheimsfjord,9.56386,63.651438,BDE6S,NA,0.033,17,Whole soft body,SB,1
3699,Mytilus edulis,97A2,Mjelle, Bodø area,14.621928,67.41271,BDE6S,NA,0.0554,17,Whole soft body,SB,1
3699,Mytilus edulis,97A3,NA,NA,NA,BDE6S,NA,0.3794,17,Whole soft body,SB,0
3699,Mytilus edulis,98A2,Svolvær airport area,14.6627,68.24917,BDE6S,NA,0.0259,17,Whole soft body,SB,1
3699,Mytilus edulis,I023,Singlekalven, Hvaler,11.136779,59.095112,BDE6S,NA,0.0364,17,Whole soft body,SB,1
3699,Mytilus edulis,I241,Nordnes, Bergen harbour,5.303955,60.4007721666667,BDE6S,NA,0.3388,17,Whole soft body,SB,1
3699,Mytilus edulis,I714,Sylterøya, Langesundfjord,9.70384,59.0514,BDE6S,NA,0.0614,17,Whole soft body,SB,0
3699,Mytilus edulis,10A2,Skallnes, Outer Varangerfjord,30.341745,70.137283,CB_S7,NA,1.34559,17,Whole soft body,SB,1
3699,Mytilus edulis,11X,Brashavn, Outer Varangerfjord,29.741,69.8993,CB_S7,NA,1.46129,17,Whole soft body,SB,1
3699,Mytilus edulis,15A,Gåsøya-Ullerøya, Farsund,6.9159,58.04605,CB_S7,NA,1.5215,17,Whole soft body,SB,1
3699,Mytilus edulis,22A,Espevær, Outer Bømlafjord,5.15203,59.58711,CB_S7,NA,1.5889,17,Whole soft body,SB,1
3699,Mytilus edulis,26A2,Vågsvåg, Outer Nordfjord,5.04878333333333,61.9362166666667,CB_S7,NA,1.844,17,Whole soft body,SB,2
3699,Mytilus edulis,28A2,NA,NA,NA,CB_S7,NA,4.271,17,Whole soft body,SB,0
3699,Mytilus edulis,30A,Gressholmen,  Inner Oslofjord,10.711,59.88362,CB_S7,NA,6.831,17,Whole soft body,SB,1
3699,Mytilus edulis,31A,Solbergstrand, Mid Oslofjord,10.6515,59.6155,CB_S7,NA,2.051,17,Whole soft body,SB,1
