"PROJECT_ID";"STATION_CODE";"STATION_NAME";"LONGITUDE";"LATITUDE";"PARAM";"N";"KLASSE";"SPECIES_ID";"trend";"NIVA_CODE";"EQS";"Mattrygghet"
3699;"28B";"Ålesund harbour area";6,06861666666667;62,4677833333333;"BDE6S";;1;17;1;"LI";2;
3699;"43B2";"Tromsø harbour area";18,974;69,653;"BDE6S";;1;17;3;"LI";2;
3699;"80B";"Trondheim harbour";10,371726;63,445624;"BDE6S";;1;17;3;"LI";2;
3699;"98B1";"Austnesfjord, Lofoten";14,708138;68,18577;"BDE6S";;1;17;1;"LI";2;
3699;"28B";"Ålesund harbour area";6,06861666666667;62,4677833333333;"CB_S7";;2;17;1;"LI";2;2
3699;"43B2";"Tromsø harbour area";18,974;69,653;"CB_S7";;1;17;1;"LI";2;2
3699;"80B";"Trondheim harbour";10,371726;63,445624;"CB_S7";;1;17;3;"LI";2;2
3699;"96B";"Sandnessjøen area";12,503554;66,04437;"CB_S7";;1;17;1;"LI";2;1
3699;"98B1";"Austnesfjord, Lofoten";14,708138;68,18577;"CB_S7";;1;17;1;"LI";2;1
3699;"28B";"Ålesund harbour area";6,06861666666667;62,4677833333333;"CD";;1;17;1;"LI";;
3699;"43B2";"Tromsø harbour area";18,974;69,653;"CD";;1;17;1;"LI";;
3699;"80B";"Trondheim harbour";10,371726;63,445624;"CD";;1;17;1;"LI";;
3699;"96B";"Sandnessjøen area";12,503554;66,04437;"CD";;1;17;1;"LI";;
3699;"98B1";"Austnesfjord, Lofoten";14,708138;68,18577;"CD";;1;17;1;"LI";;
3699;"98B1";"Austnesfjord, Lofoten";14,708138;68,18577;"DDEPP";;1;17;1;"LI";1;
3699;"98B1";"Austnesfjord, Lofoten";14,708138;68,18577;"HCB";;1;17;1;"LI";1;
3699;"28B";"Ålesund harbour area";6,06861666666667;62,4677833333333;"HG";;3;17;1;"MU";2;1
3699;"43B2";"Tromsø harbour area";18,974;69,653;"HG";;1;17;2;"MU";2;1
3699;"80B";"Trondheim harbour";10,371726;63,445624;"HG";;3;17;1;"MU";2;1
3699;"96B";"Sandnessjøen area";12,503554;66,04437;"HG";;1;17;1;"MU";2;1
3699;"98B1";"Austnesfjord, Lofoten";14,708138;68,18577;"HG";;2;17;2;"MU";2;1
3699;"28B";"Ålesund harbour area";6,06861666666667;62,4677833333333;"PB";;1;17;0;"LI";;
3699;"43B2";"Tromsø harbour area";18,974;69,653;"PB";;1;17;2;"LI";;
3699;"80B";"Trondheim harbour";10,371726;63,445624;"PB";;1;17;1;"LI";;
3699;"96B";"Sandnessjøen area";12,503554;66,04437;"PB";;1;17;0;"LI";;
3699;"98B1";"Austnesfjord, Lofoten";14,708138;68,18577;"PB";;1;17;2;"LI";;
9999;"9999";"Lofoten";14,125;67,82;"CD";25;;17;0;"MU";;1
9999;"9999";"Lofoten";14,125;67,82;"HG";25;3;17;0;"MU";2;1
9999;"9999";"Lofoten";14,125;67,82;"PB";25;;17;0;"MU";;1
9999;"9999";"Lofoten";14,125;67,82;"BDE6S";25;1;17;0;"LI";2;
9999;"9999";"Lofoten";14,125;67,82;"CD";25;1;17;0;"LI";;
9999;"9999";"Lofoten";14,125;67,82;"PB";25;1;17;0;"LI";;
9999;"9999";"Lofoten";14,125;67,82;"CB_S7";25;1;17;0;"LI";2;2
9999;"9999";"Møre";6,45;62,889166667;"CD";8;;17;0;"MU";;1
9999;"9999";"Møre";6,45;62,889166667;"HG";8;3;17;0;"MU";2;1
9999;"9999";"Møre";6,45;62,889166667;"PB";8;;17;0;"MU";;1
9999;"9999";"Møre";6,45;62,889166667;"BDE6S";8;1;17;0;"LI";2;
9999;"9999";"Møre";6,45;62,889166667;"CD";8;1;17;0;"LI";;
9999;"9999";"Møre";6,45;62,889166667;"PB";8;1;17;0;"LI";;
9999;"9999";"Møre";6,45;62,889166667;"CB_S7";8;1;17;0;"LI";2;1
9999;"9999";"Helgeland";11,045;65,11;"CD";25;;17;0;"MU";;1
9999;"9999";"Helgeland";11,045;65,11;"HG";25;1;17;1;"MU";2;1
9999;"9999";"Helgeland";11,045;65,11;"PB";25;;17;0;"MU";;1
9999;"9999";"Helgeland";11,045;65,11;"BDE6S";25;1;17;1;"LI";2;
9999;"9999";"Helgeland";11,045;65,11;"CD";25;1;17;1;"LI";;
9999;"9999";"Helgeland";11,045;65,11;"PB";25;1;17;1;"LI";;
9999;"9999";"Helgeland";11,045;65,11;"CB_S7";25;1;17;1;"LI";2;1
